start,end,duration
2017-05-28 16:35:00,2017-05-28 16:40:00,0 days 00:05:00
2017-05-28 16:50:00,2017-05-28 17:00:00,0 days 00:10:00
2017-05-28 17:15:00,2017-05-28 17:20:00,0 days 00:05:00
2017-05-28 17:25:00,2017-05-28 17:30:00,0 days 00:05:00
2017-05-28 17:45:00,2017-05-28 17:55:00,0 days 00:10:00
2017-05-28 18:05:00,2017-05-28 18:15:00,0 days 00:10:00
2017-05-28 18:25:00,2017-05-28 18:50:00,0 days 00:25:00
2017-05-28 18:55:00,2017-05-28 19:15:00,0 days 00:20:00
2017-05-28 19:20:00,2017-05-28 19:40:00,0 days 00:20:00
2017-05-28 19:45:00,2017-05-28 19:50:00,0 days 00:05:00
2017-05-28 19:55:00,2017-05-28 20:00:00,0 days 00:05:00
2017-05-28 20:05:00,2017-05-28 20:10:00,0 days 00:05:00
2017-05-28 20:15:00,2017-05-28 20:40:00,0 days 00:25:00
2017-05-28 20:45:00,2017-05-28 20:50:00,0 days 00:05:00
2017-05-28 21:00:00,2017-05-28 21:05:00,0 days 00:05:00
2017-05-28 21:25:00,2017-05-28 21:30:00,0 days 00:05:00
2017-05-28 22:25:00,2017-05-28 22:35:00,0 days 00:10:00
2017-05-28 22:40:00,2017-05-28 22:55:00,0 days 00:15:00
2017-05-28 23:10:00,2017-05-28 23:30:00,0 days 00:20:00
2017-05-28 23:40:00,2017-05-29 00:00:00,0 days 00:20:00
2017-05-29 00:10:00,2017-05-29 00:15:00,0 days 00:05:00
2017-05-29 00:35:00,2017-05-29 00:40:00,0 days 00:05:00
2017-05-29 01:10:00,2017-05-29 01:15:00,0 days 00:05:00
2017-05-29 01:30:00,2017-05-29 01:35:00,0 days 00:05:00
2017-05-29 01:45:00,2017-05-29 02:00:00,0 days 00:15:00
2017-05-29 02:25:00,2017-05-29 02:40:00,0 days 00:15:00
2017-05-29 02:45:00,2017-05-29 03:20:00,0 days 00:35:00
2017-05-29 03:30:00,2017-05-29 03:40:00,0 days 00:10:00
2017-05-29 03:50:00,2017-05-29 04:00:00,0 days 00:10:00
2017-05-29 04:10:00,2017-05-29 04:15:00,0 days 00:05:00
2017-05-29 04:35:00,2017-05-29 04:40:00,0 days 00:05:00
2017-05-29 04:45:00,2017-05-29 05:05:00,0 days 00:20:00
2017-05-29 05:10:00,2017-05-29 05:20:00,0 days 00:10:00
2017-05-29 05:25:00,2017-05-29 06:35:00,0 days 01:10:00
2017-05-29 06:40:00,2017-05-29 07:25:00,0 days 00:45:00
2017-05-29 07:35:00,2017-05-29 09:00:00,0 days 01:25:00
2017-05-29 09:05:00,2017-05-29 09:20:00,0 days 00:15:00
2017-05-29 09:25:00,2017-05-29 09:50:00,0 days 00:25:00
2017-05-29 09:55:00,2017-05-29 10:25:00,0 days 00:30:00
2017-05-29 10:30:00,2017-05-29 11:30:00,0 days 01:00:00
2017-05-29 11:35:00,2017-05-29 11:45:00,0 days 00:10:00
2017-05-29 11:50:00,2017-05-29 12:00:00,0 days 00:10:00
2017-05-29 12:05:00,2017-05-29 12:15:00,0 days 00:10:00
2017-05-29 12:25:00,2017-05-29 14:05:00,0 days 01:40:00
2017-05-29 14:10:00,2017-05-29 14:20:00,0 days 00:10:00
2017-05-29 14:40:00,2017-05-29 15:10:00,0 days 00:30:00
2017-05-29 15:15:00,2017-05-29 15:20:00,0 days 00:05:00
2017-05-29 15:40:00,2017-05-29 16:00:00,0 days 00:20:00
2017-05-29 16:10:00,2017-05-29 16:20:00,0 days 00:10:00
2017-05-29 16:45:00,2017-05-29 16:55:00,0 days 00:10:00
2017-05-29 17:00:00,2017-05-29 17:10:00,0 days 00:10:00
2017-05-29 17:50:00,2017-05-29 18:05:00,0 days 00:15:00
2017-05-29 18:10:00,2017-05-29 18:40:00,0 days 00:30:00
2017-05-29 19:00:00,2017-05-29 19:35:00,0 days 00:35:00
2017-05-29 19:40:00,2017-05-29 20:10:00,0 days 00:30:00
2017-09-20 08:30:00,2017-09-20 15:55:00,0 days 07:25:00
2017-09-20 16:00:00,2017-09-20 22:55:00,0 days 06:55:00
2017-09-21 01:45:00,2017-09-21 02:05:00,0 days 00:20:00
2017-09-21 02:40:00,2017-09-21 11:45:00,0 days 09:05:00
2017-09-21 11:55:00,2017-09-21 19:25:00,0 days 07:30:00
2017-09-21 19:30:00,2017-09-21 22:50:00,0 days 03:20:00
2017-09-21 22:55:00,2017-09-22 01:25:00,0 days 02:30:00
